Программная инженерия;101;Петров Алексей Иванович;бюджетная;9;8;7;9
Программная инженерия;101;Сидоров Борис Владимирович;платная;10;9;10;9
Программная инженерия;101;Иванова Вера Константиновна;бюджетная;6;7;5;8
Прикладная математика;102;Смирнов Глеб Дмитриевич;платная;9;9;10;10
Прикладная математика;102;Козлова Дарья Евгеньевна;бюджетная;8;8;9;7
Прикладная математика;102;Новиков Евгений Жорович;платная;4;5;6;5
Информационные системы;201;Попова Жанна Зиновьевна;бюджетная;10;10;9;10
Информационные системы;201;Васильев Илья Игоревич;платная;7;6;8;7
Информационные системы;201;Морозов Кирилл Леонидович;бюджетная;5;6;4;7
Информационные системы;201;Фёдорова Лидия Михайловна;платная;10;9;9;10
